roi,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05,feature_block,method,direction,significance,tbi_median_iqr,control_median_iqr,abs_hedges_g
temporal,alpha,n_bursts,55.21557971014494,38.28587962962963,16.929700080515303,55.0,38.5625,16.4375,7.916666666666671,5.875,3.3121893291311526,0.9782608695652173,6552.0,6.921596665882767e-27,92,72,4.845117666117937e-25,True,Burst,,выше при ЧМТ,***,55.000 [7.917],38.562 [5.875],3.3121893291311526
central,alpha,n_bursts,54.18115942028985,37.535300925925924,16.645858494363928,54.0,37.6875,16.3125,8.5,5.15625,2.8480587616731334,0.9690519323671498,6521.5,2.0692784191179115e-26,92,72,7.24247446691269e-25,True,Burst,,выше при ЧМТ,***,54.000 [8.500],37.688 [5.156],2.8480587616731334
frontal,alpha,n_bursts,53.59420289855072,37.070601851851855,16.523601046698865,53.66666666666667,37.375,16.29166666666667,9.333333333333329,6.375,2.6705280552387483,0.9498792270531402,6458.0,1.9374636363310925e-25,92,72,4.5207484847725494e-24,True,Burst,,выше при ЧМТ,***,53.667 [9.333],37.375 [6.375],2.6705280552387483
occipital,alpha,n_bursts,53.48007246376811,36.851273148148145,16.628799315619965,54.58333333333333,37.125,17.45833333333333,7.666666666666664,7.25,2.506344560552958,0.9116847826086956,6331.5,1.4536753587198275e-23,92,72,2.543931877759698e-22,True,Burst,,выше при ЧМТ,***,54.583 [7.667],37.125 [7.250],2.506344560552958
parietal,alpha,n_bursts,53.00181159420289,36.43171296296296,16.57009863123993,54.66666666666667,36.5625,18.10416666666667,9.583333333333329,7.0625,2.4238598104731617,0.9033816425120773,6304.0,3.6489820542943265e-23,92,72,5.108574876012058e-22,True,Burst,,выше при ЧМТ,***,54.667 [9.583],36.562 [7.062],2.4238598104731617
central,alpha,burst_time_fraction,0.042596793666065655,0.03465882136152528,0.007937972304540374,0.04177222222222218,0.03443734211520018,0.007334880107022004,0.008616849415204658,0.006683799063377571,1.2500132054504314,0.6358695652173914,5418.0,3.0241218406053395e-12,92,72,3.528142147372896e-11,True,Burst,,выше при ЧМТ,***,0.042 [0.009],0.034 [0.007],1.2500132054504314
,alpha,local_efficiency,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,2.70755884147718e-10,True,Graph metrics,plv,ниже при ЧМТ,***,0.300 [0.600],0.600 [0.075],1.2687311641311847
,alpha,small_world_proxy,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,2.70755884147718e-10,True,Graph metrics,plv,ниже при ЧМТ,***,0.300 [0.600],0.600 [0.075],1.2687311641311847
,alpha,avg_shortest_path,1.3242753623188406,1.0561342592592593,0.2681411030595813,1.3333333333333335,1.0,0.3333333333333335,0.6666666666666667,0.08333333333333326,1.2618736185726251,0.5718599033816425,5206.0,2.4107372888922313e-11,92,72,3.037144518533951e-10,True,Graph metrics,plv,выше при ЧМТ,***,1.333 [0.667],1.000 [0.083],1.2618736185726251
,alpha,global_efficiency,0.3644021739130433,0.31096643518518513,0.05343573872785817,0.36666666666666664,0.3,0.06666666666666665,0.1333333333333333,0.012500000000000011,1.256342018684912,0.5712560386473431,5204.0,2.530953765444959e-11,92,72,3.037144518533951e-10,True,Graph metrics,plv,выше при ЧМТ,***,0.367 [0.133],0.300 [0.013],1.256342018684912
,alpha,clustering,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,6.76889710369295e-10,True,Connectivity,plv,ниже при ЧМТ,***,0.300 [0.600],0.600 [0.075],1.2687311641311847
parietal,beta,n_bursts,17.59057971014493,11.015625,6.5749547101449295,17.0,10.625,6.375,8.333333333333334,7.0,1.0590044071628244,0.5774456521739131,5224.5,2.3558478426020574e-10,92,72,2.3558478426020573e-09,True,Burst,,выше при ЧМТ,***,17.000 [8.333],10.625 [7.000],1.0590044071628244
,alpha,local_efficiency,0.29782608695652174,0.5128472222222222,-0.2150211352657005,0.3,0.6,-0.3,0.44999999999999996,0.15000000000000002,-1.0903260679862659,-0.5514794685990339,1485.5,2.957618566527961e-10,92,72,2.366094853222369e-09,True,Graph metrics,coh,ниже при ЧМТ,***,0.300 [0.450],0.600 [0.150],1.0903260679862659
,alpha,small_world_proxy,0.29782608695652174,0.5128472222222222,-0.2150211352657005,0.3,0.6,-0.3,0.44999999999999996,0.15000000000000002,-1.0903260679862659,-0.5514794685990339,1485.5,2.957618566527961e-10,92,72,2.366094853222369e-09,True,Graph metrics,coh,ниже при ЧМТ,***,0.300 [0.450],0.600 [0.150],1.0903260679862659
,alpha,avg_shortest_path,1.3203502415458939,1.0887345679012346,0.2316156736446593,1.2916666666666665,1.0,0.2916666666666665,0.5833333333333335,0.16666666666666674,1.0773695825102219,0.5398550724637681,5100.0,7.422207293897678e-10,92,72,3.7798237433493875e-09,True,Graph metrics,coh,выше при ЧМТ,***,1.292 [0.583],1.000 [0.167],1.0773695825102219
,alpha,global_efficiency,0.363617149758454,0.3173418209876543,0.046275328770799706,0.3555555555555555,0.3,0.055555555555555525,0.12083333333333329,0.033333333333333326,1.0754571752403435,0.5395531400966183,5099.0,7.586151237584509e-10,92,72,3.7798237433493875e-09,True,Graph metrics,coh,выше при ЧМТ,***,0.356 [0.121],0.300 [0.033],1.0754571752403435
,theta,local_efficiency,0.29239130434782606,0.5097222222222221,-0.217330917874396,0.3,0.6,-0.3,0.6,0.15000000000000002,-1.1410170191086977,-0.5415157004830917,1518.5,7.874632798644557e-10,92,72,3.7798237433493875e-09,True,Graph metrics,coh,ниже при ЧМТ,***,0.300 [0.600],0.600 [0.150],1.1410170191086977
,theta,small_world_proxy,0.29239130434782606,0.5097222222222221,-0.217330917874396,0.3,0.6,-0.3,0.6,0.15000000000000002,-1.1410170191086977,-0.5415157004830917,1518.5,7.874632798644557e-10,92,72,3.7798237433493875e-09,True,Graph metrics,coh,ниже при ЧМТ,***,0.300 [0.600],0.600 [0.150],1.1410170191086977
occipital,alpha,burst_time_fraction,0.042970362954487626,0.03575138489720723,0.007218978057280397,0.04311527777777774,0.0357158058382156,0.007399471939562141,0.010252430555555567,0.007381721039228233,0.9569124214217034,0.5643115942028984,5181.0,5.967140391889735e-10,92,72,5.221247842903519e-09,True,Burst,,выше при ЧМТ,***,0.043 [0.010],0.036 [0.007],0.9569124214217034
,theta,avg_shortest_path,1.3266908212560389,1.0817901234567904,0.2449006977992485,1.3333333333333335,1.0,0.3333333333333335,0.6666666666666667,0.16666666666666674,1.182729140630481,0.5310990338164252,5071.0,1.7791203108386072e-09,92,72,7.503815508347867e-09,True,Graph metrics,coh,выше при ЧМТ,***,1.333 [0.667],1.000 [0.167],1.182729140630481
,theta,global_efficiency,0.36458333333333315,0.3156346450617284,0.04894868827160476,0.36666666666666664,0.3,0.06666666666666665,0.1333333333333333,0.033333333333333326,1.1788398508305915,0.5303442028985508,5068.5,1.8759538770869667e-09,92,72,7.503815508347867e-09,True,Graph metrics,coh,выше при ЧМТ,***,0.367 [0.133],0.300 [0.033],1.1788398508305915
,alpha,clustering,0.29782608695652174,0.5128472222222222,-0.2150211352657005,0.3,0.6,-0.3,0.44999999999999996,0.15000000000000002,-1.0903260679862659,-0.5514794685990339,1485.5,2.957618566527961e-10,92,72,8.872855699583883e-09,True,Connectivity,coh,ниже при ЧМТ,***,0.300 [0.450],0.600 [0.150],1.0903260679862659
parietal,alpha,burst_time_fraction,0.044257191407784904,0.03716224423529349,0.007094947172491414,0.04453541666666662,0.03714928486964662,0.007386131797019996,0.009673611111111098,0.005980194099347566,0.9706297449132827,0.5474033816425121,5125.0,1.9046156341552208e-09,92,72,1.4813677154540608e-08,True,Burst,,выше при ЧМТ,***,0.045 [0.010],0.037 [0.006],0.9706297449132827
frontal,alpha,burst_time_fraction,0.04328470784793006,0.03617428102159939,0.007110426826330667,0.04297499999999995,0.036219662699059824,0.006755337300940127,0.009950694444444436,0.006777160262088536,0.9924468521677667,0.5452898550724639,5118.0,2.1967215737167702e-09,92,72,1.5377051016017392e-08,True,Burst,,выше при ЧМТ,***,0.043 [0.010],0.036 [0.007],0.9924468521677667
,theta,clustering,0.29239130434782606,0.5097222222222221,-0.217330917874396,0.3,0.6,-0.3,0.6,0.15000000000000002,-1.1410170191086977,-0.5415157004830917,1518.5,7.874632798644557e-10,92,72,1.5749265597289114e-08,True,Connectivity,coh,ниже при ЧМТ,***,0.300 [0.600],0.600 [0.150],1.1410170191086977
frontal,beta,n_bursts,14.646739130434783,9.68576388888889,4.960975241545894,14.0,9.25,4.75,7.75,5.8125,0.9508778346714858,0.5101147342995169,5001.5,2.1747498813993848e-08,92,72,1.3839317427086995e-07,True,Burst,,выше при ЧМТ,***,14.000 [7.750],9.250 [5.812],0.9508778346714858
,theta,local_efficiency,0.3956521739130435,0.553125,-0.15747282608695645,0.39999999999999997,0.6,-0.2,0.4,0.07499999999999996,-0.8919110254938322,-0.40428743961352653,1973.0,8.184690010151842e-07,92,72,2.8061794320520598e-06,True,Graph metrics,plv,ниже при ЧМТ,***,0.400 [0.400],0.600 [0.075],0.8919110254938322
,theta,small_world_proxy,0.3956521739130435,0.553125,-0.15747282608695645,0.39999999999999997,0.6,-0.2,0.4,0.07499999999999996,-0.8919110254938322,-0.40428743961352653,1973.0,8.184690010151842e-07,92,72,2.8061794320520598e-06,True,Graph metrics,plv,ниже при ЧМТ,***,0.400 [0.400],0.600 [0.075],0.8919110254938322
,beta,avg_shortest_path,1.613828502415459,1.5668402777777777,0.046988224637681375,1.6666666666666667,1.59375,0.07291666666666674,0.05555555555555536,0.125,0.4687339372314761,0.4159118357487923,4689.5,1.6370257427703387e-06,92,72,5.2384823768650836e-06,True,Graph metrics,imcoh,выше при ЧМТ,***,1.667 [0.056],1.594 [0.125],0.4687339372314761
,theta,avg_shortest_path,1.1980676328502415,1.0445601851851853,0.1535074476650562,1.1666666666666665,1.0,0.16666666666666652,0.3333333333333335,0.04166666666666674,0.857128954968985,0.3902475845410629,4604.5,1.985262082288039e-06,92,72,5.955786246864117e-06,True,Graph metrics,plv,выше при ЧМТ,***,1.167 [0.333],1.000 [0.042],0.857128954968985
,theta,global_efficiency,0.33816425120772947,0.3087384259259259,0.029425825281803597,0.32499999999999996,0.3,0.024999999999999967,0.06666666666666665,0.006249999999999978,0.8260584696418197,0.3834541062801933,4582.0,2.981516832328639e-06,92,72,8.41840046775145e-06,True,Graph metrics,plv,выше при ЧМТ,***,0.325 [0.067],0.300 [0.006],0.8260584696418197
temporal,alpha,burst_time_fraction,0.03937130934632361,0.035101357212134615,0.004269952134188994,0.03961388888888884,0.035512255388061895,0.004101633500826943,0.007747916666666681,0.005806415035572783,0.8038222229675321,0.43357487922705307,4748.0,1.9693354320798135e-06,92,72,1.148779002046558e-05,True,Burst,,выше при ЧМТ,***,0.040 [0.008],0.036 [0.006],0.8038222229675321
temporal,alpha,burst_rate_per_min,13.810387195756189,12.737321496261945,1.0730656994942436,13.75,13.057583760460492,0.6924162395395079,1.9791666666666679,1.7046497713566175,0.7930600145834371,0.4316123188405796,4741.5,2.1852175870878985e-06,92,72,1.1766556238165607e-05,True,Burst,,выше при ЧМТ,***,13.750 [1.979],13.058 [1.705],0.7930600145834371
,theta,clustering,0.3956521739130435,0.553125,-0.15747282608695645,0.39999999999999997,0.6,-0.2,0.4,0.07499999999999996,-0.8919110254938322,-0.40428743961352653,1973.0,8.184690010151842e-07,92,72,1.2277035015227764e-05,True,Connectivity,plv,ниже при ЧМТ,***,0.400 [0.400],0.600 [0.075],0.8919110254938322
,theta,global_efficiency,0.43004227053140115,0.41673418209876545,0.0133080884326357,0.4388888888888889,0.4177083333333333,0.02118055555555559,0.011111111111111127,0.03437499999999999,0.5414692559428703,0.4002113526570048,4637.5,1.0341835275241849e-05,92,72,2.757822740064493e-05,True,Graph metrics,imcoh,выше при ЧМТ,***,0.439 [0.011],0.418 [0.034],0.5414692559428703
occipital,alpha,burst_rate_per_min,13.376917776159768,12.27311976537434,1.1037980107854288,13.645833333333332,12.470286863779908,1.1755464695534243,1.916666666666666,2.4767724751076763,0.5998150048473021,0.4006642512077294,4639.0,1.1041990981315001e-05,92,72,5.5209954906575e-05,True,Burst,,выше при ЧМТ,***,13.646 [1.917],12.470 [2.477],0.5998150048473021
central,alpha,burst_rate_per_min,13.55175178559046,12.487644823741277,1.0641069618491823,13.5,12.586823067424415,0.9131769325755847,2.125,1.480548998617694,0.6922576704685696,0.38300120772946866,4580.5,2.6482626941933486e-05,92,72,0.0001235855923956896,True,Burst,,выше при ЧМТ,***,13.500 [2.125],12.587 [1.481],0.6922576704685696
,alpha,local_efficiency,0.015217391304347825,0.04791666666666666,-0.03269927536231884,0.0,0.0,0.0,0.0,0.075,-0.4242711351458276,-0.2247886473429952,2567.5,0.0001041552161686756,92,72,0.00024284668138197253,True,Graph metrics,imcoh,без разницы,***,0 [0],0 [0.075],0.4242711351458276
,beta,local_efficiency,0.017391304347826087,0.04375,-0.02635869565217391,0.0,0.0,0.0,0.0,0.075,-0.3330028210893215,-0.22388285024154586,2570.5,0.0001113047289667374,92,72,0.00024284668138197253,True,Graph metrics,imcoh,без разницы,***,0 [0],0 [0.075],0.3330028210893215
,alpha,small_world_proxy,0.015217391304347825,0.04791666666666666,-0.03269927536231884,0.0,0.0,0.0,0.0,0.075,-0.4242711351458276,-0.2247886473429952,2567.5,0.0001041552161686756,92,72,0.00024284668138197253,True,Graph metrics,imcoh,без разницы,***,0 [0],0 [0.075],0.4242711351458276
,beta,small_world_proxy,0.017391304347826087,0.04375,-0.02635869565217391,0.0,0.0,0.0,0.0,0.075,-0.3330028210893215,-0.22388285024154586,2570.5,0.0001113047289667374,92,72,0.00024284668138197253,True,Graph metrics,imcoh,без разницы,***,0 [0],0 [0.075],0.3330028210893215
central,alpha,burst_median_duration_sec,0.15596376811594204,0.13925694444444442,0.016706823671497617,0.15399999999999997,0.13424999999999998,0.01974999999999999,0.03662499999999996,0.02956249999999999,0.6084420620547584,0.3589975845410629,4501.0,8.20971398127589e-05,92,72,0.0003443452646830716,True,Burst,,выше при ЧМТ,***,0.154 [0.037],0.134 [0.030],0.6084420620547584
occipital,beta,n_bursts,13.66304347826087,9.431712962962962,4.231330515297907,12.666666666666666,8.75,3.916666666666666,9.75,6.0625,0.6744079141961687,0.35854468599033806,4499.5,8.362670713731739e-05,92,72,0.0003443452646830716,True,Burst,,выше при ЧМТ,***,12.667 [9.750],8.750 [6.062],0.6744079141961687
parietal,alpha,burst_rate_per_min,13.257495579363429,12.128679227817672,1.1288163515457565,13.75,12.042023591966377,1.7079764080336233,2.395833333333332,2.2601626360985474,0.6071354868495766,0.3568840579710144,4494.0,9.036663221985752e-05,92,72,0.0003514257919661126,True,Burst,,выше при ЧМТ,***,13.750 [2.396],12.042 [2.260],0.6071354868495766
occipital,alpha,burst_mean_peak_z,3.0540709681335114,3.2048828824393816,-0.15081191430587015,3.046758231754403,3.2339981398176487,-0.18723990806324586,0.36906794945587906,0.2902422023884297,-0.6576383516715962,-0.3502415458937198,2152.0,0.0001220275588547318,92,72,0.00044957521683322246,True,Burst,,ниже при ЧМТ,***,3.047 [0.369],3.234 [0.290],0.6576383516715962
temporal,alpha,dfa_exponent,0.7787965570095514,0.8252066081491107,-0.046410051139559316,0.777559395180994,0.8190212456698001,-0.04146185048880602,0.0816429957089474,0.09707055271114984,-0.680777070904312,-0.3653381642512077,2102.0,6.131495254845553e-05,92,72,0.0006131495254845553,True,DFA / LRTC,,ниже при ЧМТ,***,0.778 [0.082],0.819 [0.097],0.680777070904312
central,alpha,burst_mean_peak_z,3.1053074156874714,3.236430438975022,-0.13112302328755066,3.1263466535680298,3.2448039821918497,-0.11845732862381997,0.31982966885916575,0.23171174354573232,-0.6147431901119159,-0.3408816425120773,2183.0,0.00018453502217205905,92,72,0.0006458725776022068,True,Burst,,ниже при ЧМТ,***,3.126 [0.320],3.245 [0.232],0.6147431901119159
,beta,local_efficiency,0.4195652173913044,0.5375,-0.11793478260869555,0.6,0.6,0.0,0.3,0.07499999999999996,-0.632163288464101,-0.28879830917874394,2355.5,0.0003466285270144595,92,72,0.000693257054028919,True,Graph metrics,plv,без разницы,***,0.600 [0.300],0.600 [0.075],0.632163288464101
,beta,small_world_proxy,0.4195652173913044,0.5375,-0.11793478260869555,0.6,0.6,0.0,0.3,0.07499999999999996,-0.632163288464101,-0.28879830917874394,2355.5,0.0003466285270144595,92,72,0.000693257054028919,True,Graph metrics,plv,без разницы,***,0.600 [0.300],0.600 [0.075],0.632163288464101
parietal,alpha,burst_mean_peak_z,3.044113620995317,3.19596066874811,-0.15184704775279334,3.040943513910771,3.224147115551145,-0.1832036016403742,0.3292738045415877,0.31476940608471793,-0.6253197135756786,-0.33605072463768115,2199.0,0.00022755454853086562,92,72,0.0007585151617695522,True,Burst,,ниже при ЧМТ,***,3.041 [0.329],3.224 [0.315],0.6253197135756786
frontal,alpha,burst_rate_per_min,13.405489390472226,12.33903945454066,1.0664499359315656,13.416666666666668,12.338649835106393,1.0780168315602747,2.354166666666666,2.3070688897005187,0.6311287458305327,0.33303140096618367,4415.0,0.00025889090340886763,92,72,0.0008237437835736698,True,Burst,,выше при ЧМТ,***,13.417 [2.354],12.339 [2.307],0.6311287458305327
,beta,avg_shortest_path,1.1875,1.061053240740741,0.12644675925925908,1.0,1.0,0.0,0.3333333333333335,0.08333333333333326,0.6410541814247143,0.2821557971014492,4246.5,0.00047770102166405306,92,72,0.0009171859615949819,True,Graph metrics,plv,без разницы,***,1.000 [0.333],1.000 [0.083],0.6410541814247143
,beta,global_efficiency,0.33716787439613527,0.31209490740740736,0.025072966988727907,0.3,0.3,0.0,0.06666666666666665,0.012500000000000011,0.6321313170321052,0.2803442028985508,4240.5,0.0005196443085427609,92,72,0.000959343338848174,True,Graph metrics,plv,без разницы,***,0.300 [0.067],0.300 [0.013],0.6321313170321052
,alpha,clustering,0.015217391304347825,0.04791666666666666,-0.03269927536231884,0.0,0.0,0.0,0.0,0.075,-0.4242711351458276,-0.2247886473429952,2567.5,0.0001041552161686756,92,72,0.001113047289667374,True,Connectivity,imcoh,без разницы,**,0 [0],0 [0.075],0.4242711351458276
,beta,clustering,0.017391304347826087,0.04375,-0.02635869565217391,0.0,0.0,0.0,0.0,0.075,-0.3330028210893215,-0.22388285024154586,2570.5,0.0001113047289667374,92,72,0.001113047289667374,True,Connectivity,imcoh,без разницы,**,0 [0],0 [0.075],0.3330028210893215
central,alpha,burst_mean_duration_sec,0.19211808618691445,0.17079439849050837,0.02132368769640608,0.18828594226421752,0.16690083280289505,0.021385109461322466,0.04282983069523025,0.04657166457051459,0.5509406738211775,0.31461352657004826,4354.0,0.0005584674616826579,92,72,0.0016996835790341763,True,Burst,,выше при ЧМТ,**,0.188 [0.043],0.167 [0.047],0.5509406738211775
,alpha,global_efficiency,0.43082729468599035,0.4225308641975308,0.008296430488459572,0.4388888888888889,0.4302083333333333,0.00868055555555558,0.00833333333333336,0.025000000000000022,0.37599043916637426,0.28940217391304346,4270.5,0.0013518329712154875,92,72,0.002298622417639953,True,Graph metrics,imcoh,выше при ЧМТ,**,0.439 [0.008],0.430 [0.025],0.37599043916637426
,theta,local_efficiency,0.03695652173913044,0.06527777777777778,-0.028321256038647345,0.0,0.0,0.0,0.0,0.15,-0.2973221961353067,-0.22342995169082125,2572.0,0.001388751043990805,92,72,0.002298622417639953,True,Graph metrics,imcoh,без разницы,**,0 [0],0 [0.150],0.2973221961353067
,theta,small_world_proxy,0.03695652173913044,0.06527777777777778,-0.028321256038647345,0.0,0.0,0.0,0.0,0.15,-0.2973221961353067,-0.22342995169082125,2572.0,0.001388751043990805,92,72,0.002298622417639953,True,Graph metrics,imcoh,без разницы,**,0 [0],0 [0.150],0.2973221961353067
,beta,clustering,0.4195652173913044,0.5375,-0.11793478260869555,0.6,0.6,0.0,0.3,0.07499999999999996,-0.632163288464101,-0.28879830917874394,2355.5,0.0003466285270144595,92,72,0.0029711016601239384,True,Connectivity,plv,без разницы,**,0.600 [0.300],0.600 [0.075],0.632163288464101
