method,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
plv,alpha,clustering,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,6.76889710369295e-10,True
coh,alpha,clustering,0.29782608695652174,0.5128472222222222,-0.2150211352657005,0.3,0.6,-0.3,0.44999999999999996,0.15000000000000002,-1.0903260679862659,-0.5514794685990339,1485.5,2.957618566527961e-10,92,72,8.872855699583883e-09,True
coh,theta,clustering,0.29239130434782606,0.5097222222222221,-0.217330917874396,0.3,0.6,-0.3,0.6,0.15000000000000002,-1.1410170191086977,-0.5415157004830917,1518.5,7.874632798644557e-10,92,72,1.5749265597289114e-08,True
plv,theta,clustering,0.3956521739130435,0.553125,-0.15747282608695645,0.39999999999999997,0.6,-0.2,0.4,0.07499999999999996,-0.8919110254938322,-0.40428743961352653,1973.0,8.184690010151842e-07,92,72,1.2277035015227764e-05,True
imcoh,alpha,clustering,0.015217391304347825,0.04791666666666666,-0.03269927536231884,0.0,0.0,0.0,0.0,0.075,-0.4242711351458276,-0.2247886473429952,2567.5,0.0001041552161686756,92,72,0.001113047289667374,True
imcoh,beta,clustering,0.017391304347826087,0.04375,-0.02635869565217391,0.0,0.0,0.0,0.0,0.075,-0.3330028210893215,-0.22388285024154586,2570.5,0.0001113047289667374,92,72,0.001113047289667374,True
plv,beta,clustering,0.4195652173913044,0.5375,-0.11793478260869555,0.6,0.6,0.0,0.3,0.07499999999999996,-0.632163288464101,-0.28879830917874394,2355.5,0.0003466285270144595,92,72,0.0029711016601239384,True
imcoh,theta,clustering,0.03695652173913044,0.06527777777777778,-0.028321256038647345,0.0,0.0,0.0,0.0,0.15,-0.2973221961353067,-0.22342995169082125,2572.0,0.001388751043990805,92,72,0.010415632829931038,True
wpli,theta,clustering,0.06413043478260869,0.08749999999999998,-0.023369565217391294,0.0,0.075,-0.075,0.0,0.15,-0.18457799509153905,-0.21467391304347827,2601.0,0.005495375288081497,92,72,0.03663583525387665,True
wpli,alpha,clustering,0.053260869565217396,0.07916666666666666,-0.025905797101449267,0.0,0.0,0.0,0.0,0.15,-0.20591878419711065,-0.18387681159420288,2703.0,0.010213540085306746,92,72,0.06128124051184048,False
wpli,beta,clustering,0.04565217391304347,0.056249999999999994,-0.010597826086956523,0.0,0.0,0.0,0.0,0.15,-0.10782692692983359,-0.17919685990338163,2718.5,0.0116146950098073,92,72,0.06335288187167619,False
plv,theta,median_strength,0.42098334795017345,0.39847339857730923,0.022509949372864213,0.42269446356176055,0.4007674658471665,0.021926997714594054,0.06432996492401016,0.08136590544949318,0.3581939439175898,0.22705314009661826,4064.0,0.01277057448493211,92,72,0.06385287242466055,False
coh,beta,clustering,0.39347826086956517,0.49374999999999997,-0.1002717391304348,0.39999999999999997,0.525,-0.12500000000000006,0.4,0.15000000000000002,-0.5358207920888061,-0.206219806763285,2629.0,0.016832549112499026,92,72,0.07768868821153396,False
plv,alpha,mean_strength,0.45448939300684166,0.479390330507894,-0.024900937501052323,0.4528124982641304,0.47013313775613785,-0.01732063949200746,0.0627912597422256,0.0808201393122483,-0.43211991793501897,-0.2119565217391305,2610.0,0.02010254738343057,92,72,0.08184048305286595,False
wpli,beta,mean_strength,0.08470495667701183,0.06973116233182626,0.014973794345185573,0.07385910437778553,0.062294836607951695,0.011564267769833839,0.05589964034015037,0.04562534771813792,0.30717491287261883,0.21135265700483097,4012.0,0.02046012076321649,92,72,0.08184048305286595,False
imcoh,beta,mean_strength,0.04062407668430378,0.03432008335341831,0.006303993330885473,0.03453567253114155,0.029779509398134018,0.004756163133007533,0.02779639852444428,0.021320775061711584,0.27681452311699983,0.2065217391304348,3996.0,0.023525867406800127,92,72,0.08822200277550048,False
wpli,beta,median_strength,0.08128553987609266,0.06664323915833273,0.014642300717759932,0.06655038676285614,0.05445656302992359,0.012093823732932552,0.06278768120056588,0.04511956900205119,0.2917113055172325,0.19293478260869557,3951.0,0.034372277296568374,92,72,0.12131391987024132,False
imcoh,beta,median_strength,0.03897453928575668,0.032557168165290334,0.006417371120466343,0.0336915876333449,0.027594106664387115,0.006097480968957784,0.030685193636998433,0.019339430730158987,0.2778494473023839,0.18176328502415462,3914.0,0.04625299436632406,92,72,0.15417664788774688,False
plv,beta,mean_strength,0.39243115988379784,0.40143585236704926,-0.00900469248325142,0.38791640115399517,0.394083874633575,-0.006167473479579855,0.05283038565964382,0.03033312663386023,-0.23497680512860608,-0.16032608695652173,2781.0,0.07877850232664346,92,72,0.24877421787361095,False
plv,theta,mean_strength,0.430712249225549,0.4405740102123153,-0.009861760986766277,0.4246607579605022,0.4401380218851236,-0.015477263924621398,0.04585480182079571,0.05146562522322462,-0.2480995297766376,-0.14583333333333337,2829.0,0.10987186755170543,92,72,0.3296156026551163,False
wpli,alpha,mean_strength,0.22879459809011066,0.18713991948139488,0.04165467860871577,0.1779930521737102,0.1813178992606096,-0.0033248470868993962,0.19069500579346643,0.15406579311520008,0.294407730633759,0.12983091787439616,3742.0,0.1546917456748663,92,72,0.4419764162139037,False
wpli,alpha,median_strength,0.23012064837457039,0.18829445454767552,0.04182619382689487,0.180919436989957,0.16928815730580327,0.011631279684153728,0.21322355410434873,0.15677535531034426,0.2741346553972598,0.12590579710144922,3729.0,0.16756276521225788,92,72,0.45698935966979426,False
coh,alpha,median_strength,0.2826167825942497,0.2675879758959361,0.015028806698313635,0.26844337689556147,0.24164111389765852,0.026802262997902948,0.12862365247483823,0.09985498537148313,0.16875713875441828,0.12047101449275366,3711.0,0.1866900401851853,92,72,0.487017496135266,False
imcoh,alpha,mean_strength,0.09927665939737156,0.08439888946299427,0.014877769934377283,0.0737639186002719,0.07605677832763488,-0.0022928597273629836,0.08565159738238524,0.07064712603898168,0.23373934022330445,0.11171497584541057,3682.0,0.22082304367718208,92,72,0.5520576091929552,False
coh,theta,mean_strength,0.35984547813831985,0.372689287357032,-0.012843809218712143,0.35293059077182554,0.36379011022037083,-0.010859519448545296,0.088673610940322,0.08659632605252066,-0.2070473505302498,-0.1032608695652174,2970.0,0.2578177003230635,92,72,0.6187624807753523,False
imcoh,alpha,median_strength,0.10008252695615012,0.08644170367237451,0.01364082328377561,0.0717964433950718,0.07162242155702477,0.00017402183804703097,0.07894501816552939,0.07421864645917005,0.1896709077779172,0.0939009661835748,3623.0,0.3035523585450477,92,72,0.6504693397393879,False
imcoh,theta,mean_strength,0.042022646876597236,0.04110289741088621,0.0009197494657110228,0.03496503515173235,0.030508183033127294,0.004456852118605054,0.028537384269845582,0.021170561798592287,0.028932977041929146,0.09510869565217384,3627.0,0.29736560456555683,92,72,0.6504693397393879,False
wpli,theta,mean_strength,0.09388428658935818,0.09054955376329317,0.003334732826065015,0.07526662785114349,0.06390125867370347,0.011365369177440021,0.0667276523648413,0.053606285237192915,0.04381186367631618,0.09752415458937191,3635.0,0.285246578643789,92,72,0.6504693397393879,False
coh,beta,mean_strength,0.29269530152861195,0.30091373862039916,-0.008218437091787212,0.2906270011846914,0.28986175751229015,0.0007652436724012723,0.05571463458170839,0.041112712362592674,-0.1773278431063929,-0.08665458937198067,3025.0,0.3424573457557575,92,72,0.684914691511515,False
plv,alpha,median_strength,0.42233229103426656,0.43588434191660497,-0.013552050882338407,0.4164967902212775,0.4320066241598425,-0.015509833938564976,0.12934315956915265,0.10454968471611664,-0.16938671244264472,-0.08695652173913049,3024.0,0.34077525465916203,92,72,0.684914691511515,False
plv,beta,median_strength,0.3537857079672247,0.3463498387587449,0.007435869208479773,0.3485897077284028,0.332307992970719,0.016281714757683807,0.08466035952373552,0.05669884211690046,0.13506088851942416,0.08152173913043481,3582.0,0.3718617978300006,92,72,0.7197325119290334,False
coh,alpha,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
coh,alpha,mean_strength,0.35419874781564353,0.3576868636230649,-0.003488115807421366,0.3492883669911567,0.34297418654613476,0.006314180445021911,0.07863451051493336,0.08622143202783566,-0.057958021257041435,-0.004227053140096637,3298.0,0.9643206033278935,92,72,1.0,False
coh,alpha,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
coh,beta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
coh,beta,median_strength,0.20131992646547922,0.20036654648594165,0.0009533799795375664,0.19349085039786657,0.19202336450867757,0.0014674858891889908,0.06916108061067996,0.05951691492761152,0.015000403293599173,0.016002415458937103,3365.0,0.861897403968593,92,72,1.0,False
coh,beta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
coh,theta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
coh,theta,median_strength,0.2955388749126177,0.29063981337140415,0.004899061541213556,0.2866206263701789,0.27376776286744586,0.012852863502733014,0.12027686825453757,0.13137580947168678,0.05001123989182951,0.028683574879227125,3407.0,0.754184297070756,92,72,1.0,False
coh,theta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
imcoh,alpha,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
imcoh,alpha,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
imcoh,beta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
imcoh,beta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
imcoh,theta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
imcoh,theta,median_strength,0.04004478727606176,0.04016984565190441,-0.000125058375842646,0.03213760258294872,0.028273013419206516,0.003864589163742202,0.03064172615350154,0.019790032958938344,-0.0035359001213518967,0.048913043478260976,3474.0,0.5925585036105594,92,72,1.0,False
imcoh,theta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,alpha,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,alpha,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,beta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,beta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,theta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
plv,theta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,alpha,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,alpha,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,beta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,beta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,theta,density_75,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
wpli,theta,median_strength,0.08974366957376258,0.08798440081215347,0.0017592687616091035,0.0643207283183841,0.05956898439244403,0.004751743925940077,0.06606091087544873,0.05198626485321388,0.0212829334979635,0.05283816425120769,3487.0,0.5631238563741272,92,72,1.0,False
wpli,theta,n_roi_used,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,3312.0,1.0,92,72,1.0,False
